Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
BGTP_0001,,,Alpine gearing,,,
BGTP_0002,,,Continuously variable transmissions,,,
BGTP_0003,,,Crossover gearing,,,
BGTP_0004,,,External (derailleur),,,
BGTP_0005,,,Flip-flop hubs,,,
BGTP_0006,,,Half-step gearing,,,
BGTP_0007,,,Half-step plus granny gearing,,,
BGTP_0008,,,Internal (bottom bracket),,,
BGTP_0009,,,Internal (hub),,,
BGTP_0010,,,Internal and external combined,,,
BGTP_0011,,,Multi-range gearing,,,
BGTP_0012,,,Retro-direct,,,
