Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
ACNT_0001,,,American,,,
ACNT_0002,,,Asian,,,
ACNT_0003,,,Australian,,,
ACNT_0004,,,Birmingham,,,
ACNT_0005,,,Cultured,,,
ACNT_0006,,,East Anglian,,,
ACNT_0007,,,English,,,
ACNT_0008,,,French,,,
ACNT_0009,,,German,,,
ACNT_0010,,,Glasgow,,,
ACNT_0011,,,Irish,,,
ACNT_0012,,,Italian,,,
ACNT_0013,,,Liverpool,,,
ACNT_0014,,,London,,,
ACNT_0015,,,Manchester,,,
ACNT_0016,,,Midland,,,
ACNT_0017,,,North East,,,
ACNT_0018,,,North West,,,
ACNT_0019,,,Northern,,,
ACNT_0020,,,Oriental,,,
ACNT_0021,,,Other Foreign,,,
ACNT_0022,,,Scottish,,,
ACNT_0023,,,Southern,,,
ACNT_0024,,,Spanish,,,
ACNT_0025,,,Welsh,,,
ACNT_0026,,,West Country,,,
ACNT_0027,,,West Indian,,,
ACNT_0028,,,Yorkshire,,,
