Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
ESDD_W1,,,British,,,
ESDD_W2,,,Irish,,,
ESDD_W3,,,Gypsy or Irish Traveller,,,
ESDD_W4,,,Roma,,,
ESDD_W9,,,Any other white background,,,
ESDD_M1,,,White and Black Caribbean,,,
ESDD_M2,,,White and Black African,,,
ESDD_M3,,,White and Asian,,,
ESDD_M9,,,Any other mixed,,,
ESDD_A1,,,Indian,,,
ESDD_A2,,,Pakistani,,,
ESDD_A3,,,Bangladeshi,,,
ESDD_A4,,,Chinese,,,
ESDD_A9,,,Any other Asian background,,,
ESDD_B1,,,Caribbean,,,
ESDD_B2,,,African,,,
ESDD_B9,,,Any other Black background,,,
ESDD_O2,,,Arab,,,
ESDD_O9,,,Any other,,,
ESDD_NS,,,Not stated,,,
