Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
HCLT_0001,,,Auburn,,,
HCLT_0002,,,Black,,,
HCLT_0003,,,Blonde,,,
HCLT_0004,,,Blue,,,
HCLT_0005,,,Brown,,,
HCLT_0006,,,Dark Brown,,,
HCLT_0007,,,Dark brown,,,
HCLT_0008,,,Fair,,,
HCLT_0009,,,Ginger,,,
HCLT_0010,,,Green,,,
HCLT_0011,,,Grey,,,
HCLT_0012,,,Light Brown,,,
HCLT_0013,,,Light brown,,,
HCLT_0014,,,Mousey,,,
HCLT_0015,,,Multi,,,
HCLT_0016,,,None,,,
HCLT_0017,,,Orange,,,
HCLT_0018,,,Other,,,
HCLT_0019,,,Pink,,,
HCLT_0020,,,Purple,,,
HCLT_0021,,,Red,,,
HCLT_0022,,,Sandy,,,
HCLT_0023,,,White,,,
HCLT_0024,,,Yellow,,,
