Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
LNGG_AAR,,,Afar,,,ISO639-2
LNGG_ABK,,,Abkhazian,,,ISO639-2
LNGG_ACE,,,Achinese,,,ISO639-2
LNGG_ACH,,Acholi,Acoli,,,ISO639-2
LNGG_ADA,,,Adangme,,,ISO639-2
LNGG_ADY,,,Adyghe; Adygei,,,ISO639-2
LNGG_AFA,,,Afro-Asiatic languages,,,ISO639-2
LNGG_AFH,,,Afrihili,,,ISO639-2
LNGG_AFR,,Afrikaans,Afrikaans,,,ISO639-2
LNGG_AIN,,,Ainu,,,ISO639-2
LNGG_AKA,,Akan,Akan,,,ISO639-2
LNGG_AKK,,,Akkadian,,,ISO639-2
LNGG_ALE,,,Aleut,,,ISO639-2
LNGG_ALG,,,Algonquian languages,,,ISO639-2
LNGG_ALT,,,Southern Altai,,,ISO639-2
LNGG_AMH,,Amharic,Amharic,,,ISO639-2
LNGG_ANG,,,"English, Old (ca.450–1100)",,,ISO639-2
LNGG_ANP,,,Angika,,,ISO639-2
LNGG_APA,,,Apache languages,,,ISO639-2
LNGG_ARA,,Arabic,Arabic,,,ISO639-2
LNGG_ARC,,,Official Aramaic (700–300 BCE); Imperial Aramaic (700–300 BCE),,,ISO639-2
LNGG_ARG,,,Aragonese,,,ISO639-2
LNGG_ARN,,,Mapudungun; Mapuche,,,ISO639-2
LNGG_ARP,,,Arapaho,,,ISO639-2
LNGG_ART,,,Artificial languages,,,ISO639-2
LNGG_ARW,,,Arawak,,,ISO639-2
LNGG_ASM,,Assamese,Assamese,,,ISO639-2
LNGG_AST,,,Asturian; Bable; Leonese; Asturleonese,,,ISO639-2
LNGG_ATH,,,Athapascan languages,,,ISO639-2
LNGG_AUS,,,Australian languages,,,ISO639-2
LNGG_AVA,,,Avaric,,,ISO639-2
LNGG_AVE,,,Avestan,,,ISO639-2
LNGG_AWA,,,Awadhi,,,ISO639-2
LNGG_AYM,,Aymara,Aymara,,,ISO639-2
LNGG_AZE,,Azerbaijani,Azerbaijani,,,ISO639-2
LNGG_BAD,,,Banda languages,,,ISO639-2
LNGG_BAI,,,Bamileke languages,,,ISO639-2
LNGG_BAK,,,Bashkir,,,ISO639-2
LNGG_BAL,,Balochi,Baluchi,,,ISO639-2
LNGG_BAM,,,Bambara,,,ISO639-2
LNGG_BAN,,,Balinese,,,ISO639-2
LNGG_BAS,,,Basa,,,ISO639-2
LNGG_BAT,,,Baltic languages,,,ISO639-2
LNGG_BEJ,,,Beja; Bedawiyet,,,ISO639-2
LNGG_BEL,,Belarusian,Belarusian,,,ISO639-2
LNGG_BEM,,,Bemba,,,ISO639-2
LNGG_BEN,,Bengali,Bengali,,,ISO639-2
LNGG_BER,,Berber,Berber Languages,,,ISO639-2
LNGG_BHO,,Bhojpuri,Bhojpuri,,,ISO639-2
LNGG_BIH,,,Bihari languages,,,ISO639-2
LNGG_BIK,,,Bikol,,,ISO639-2
LNGG_BIN,,,Bini; Edo,,,ISO639-2
LNGG_BIS,,Bislama,Bislama,,,ISO639-2
LNGG_BLA,,,Siksika,,,ISO639-2
LNGG_BNT,,Comorian,Bantu languages,,,ISO639-2
LNGG_BOD,,Tibetan,Tibetan,,,ISO639-2
LNGG_BOS,,Bosnian,Bosnian,,,ISO639-2
LNGG_BRA,,,Braj,,,ISO639-2
LNGG_BRE,,,Breton,,,ISO639-2
LNGG_BTK,,,Batak languages,,,ISO639-2
LNGG_BUA,,,Buriat,,,ISO639-2
LNGG_BUG,,,Buginese,,,ISO639-2
LNGG_BUL,,Bulgarian,Bulgarian,,,ISO639-2
LNGG_BYN,,,Blin; Bilin,,,ISO639-2
LNGG_CAD,,,Caddo,,,ISO639-2
LNGG_CAI,,,Central American Indian languages,,,ISO639-2
LNGG_CAR,,,Galibi Carib,,,ISO639-2
LNGG_CAT,,Catalan,Catalan; Valencian,,,ISO639-2
LNGG_CAU,,,Caucasian languages,,,ISO639-2
LNGG_CEB,,Cebuano (Visayan),Cebuano,,,ISO639-2
LNGG_CEL,,,Celtic languages,,,ISO639-2
LNGG_CES,,Czech,Czech,,,ISO639-2
LNGG_CHA,,,Chamorro,,,ISO639-2
LNGG_CHB,,,Chibcha,,,ISO639-2
LNGG_CHE,,,Chechen,,,ISO639-2
LNGG_CHG,,,Chagatai,,,ISO639-2
LNGG_CHK,,,Chuukese,,,ISO639-2
LNGG_CHM,,,Mari,,,ISO639-2
LNGG_CHN,,,Chinook jargon,,,ISO639-2
LNGG_CHO,,,Choctaw,,,ISO639-2
LNGG_CHP,,,Chipewyan; Dene Suline,,,ISO639-2
