Source SOH Field,Target POLE Entity,Target Data Model Field,Mapping Type,Priority
evidenceAtScene,Object (Evidence),evidenceAtScene,"New POLE entity created, value remains the same",3
evidenceAtSceneDetails,Object (Evidence),evidenceAtSceneDetails,"New POLE entity created, value remains the same",3
yourVideoAudioPhotoEvidenceAvailable,Object (Evidence),yourVideoAudioPhotoEvidenceAvailable,"New POLE entity created, value remains the same",3
yourVideoAudioPhotoEvidenceTypeDetails,Object (Evidence),yourVideoAudioPhotoEvidenceTypeDetails,"New POLE entity created, value remains the same",3
yourVideoAudioPhotoEvidenceContentDetails,Object (Evidence),yourVideoAudioPhotoEvidenceContentDetails,"New POLE entity created, value remains the same",3
howToProvideYourMedia,Object (Evidence),howToProvideYourMedia,"New POLE entity created, value remains the same",3
yourVideoUrl,Object (Evidence),yourVideoUrl,"New POLE entity created, value remains the same",3
yourMediaUploadsDm,Object (Evidence),yourMediaUploadsDm,"New POLE entity created, value remains the same",3
otherPartyVideoAudioPhotoEvidenceAvailable,Object (Evidence),otherPartyVideoAudioPhotoEvidenceAvailable,"New POLE entity created, value remains the same",3
otherPartyVideoAudioPhotoEvidenceContentDetails,Object (Evidence),otherPartyVideoAudioPhotoEvidenceContentDetails,"New POLE entity created, value remains the same",3
detailsOfOtherParty,Object (Evidence),detailsOfOtherParty,"New POLE entity created, value remains the same",3
descriptionOfYourAppearanceInFootage,Object (Evidence),descriptionOfYourAppearanceInFootage,"New POLE entity created, value remains the same",3
howToProvideTheirMedia,Object (Evidence),howToProvideTheirMedia,"New POLE entity created, value remains the same",3
otherPartyVideoUrl,Object (Evidence),otherPartyVideoUrl,"New POLE entity created, value remains the same",3
otherPartyMediaUploads,Object (Evidence),otherPartyMediaUploads,"New POLE entity created, value remains the same",3
mediaSharePermission,Object (Evidence),mediaSharePermission,"New POLE entity created, value remains the same",3
medicalEvidenceAvailable,Object (Evidence),medicalEvidenceAvailable,"New POLE entity created, value remains the same",3
howProvidingMedicalEvidence,Object (Evidence),howProvidingMedicalEvidence,"New POLE entity created, value remains the same",3
medicalEvidenceTypeDetails,Object (Evidence),medicalEvidenceTypeDetails,"New POLE entity created, value remains the same",3
medicalEvidenceContentDetails,Object (Evidence),medicalEvidenceContentDetails,"New POLE entity created, value remains the same",3
medicalEvidenceMediaUploads,Object (Evidence),medicalEvidenceMediaUploads,"New POLE entity created, value remains the same",3
