Source SOH Field,Target POLE Entity,Target Data Model Field,Mapping Type,Priority
stolenItemType,Object (Property),propertyCategory,Direct Mapping,4
mobilePhoneNumber,Object (Mobile),_CommsFields,"New POLE entity created, value remains the same",3
mobileNetwork,Object (Mobile),mobileNetwork,Direct Mapping,4
mobileModel,Object (Mobile),propertyModelDetails,Direct Mapping,4
mobileMake,Object (Mobile),propertyMakeDetails,Direct Mapping,4
mobileDistinctiveFeatures,Object (Mobile),propertyDistinctiveFeaturesDetails,Direct Mapping,4
mobileImei,Object (Mobile),propertyUniqueNumber,"Populate propertyUniqueNumberType with IMEI, and propertyUniqueNumber with mobileImei",1
mobileApproxValue,Object (Mobile),propertyApproxValue,Direct Mapping,4
mobileTracking,Object (Mobile),propertyTracking,Direct Mapping,4
mobileTrackingDetails,Object (Mobile),propertyTrackingDetails,Direct Mapping,4
bicycleType,Object (Bicycle),bicycleType,Direct Mapping,4
bicycleGender,Object (Bicycle),bicycleGender,Direct Mapping,4
bicycleModel,Object (Bicycle),propertyModelDetails,Direct Mapping,4
bicycleMake,Object (Bicycle),propertyMakeDetails,Direct Mapping,4
bicycleHandleBarType,Object (Bicycle),bicycleHandleBarType,Direct Mapping,4
bicycleHandleBarGrip,Object (Bicycle),bicycleHandleBarGrip,Direct Mapping,4
bicycleGearsType,Object (Bicycle),bicycleGearsType,Direct Mapping,4
bicycleGearsNumber,Object (Bicycle),bicycleGearsNumber,Direct Mapping,4
bicycleFrameType,Object (Bicycle),bicycleFrameType,Direct Mapping,4
bicycleFrameNumber,Object (Bicycle),bicycleFrameNumber,Direct Mapping,4
bicycleBrakes,Object (Bicycle),bicycleBrakes,Direct Mapping,4
bicycleSuspension,Object (Bicycle),bicycleSuspension,Direct Mapping,4
bicycleWheelDiameter,Object (Bicycle),bicycleWheelDiameter,Direct Mapping,4
bicycleMudGuards,Object (Bicycle),bicycleMudGuards,Direct Mapping,4
bicycleMudGuardsColour,Object (Bicycle),bicycleMudGuardsColour,Direct Mapping,4
bicycleSaddle,Object (Bicycle),bicycleSaddle,Direct Mapping,4
bicycleSaddleColour,Object (Bicycle),bicycleSaddleColour,Direct Mapping,4
bicycleColour,Object (Bicycle),bicycleColour,Direct Mapping,4
bicycleDescription,Object (Bicycle),bicycleDescription,Direct Mapping,4
bicycleApproxValue,Object (Bicycle),propertyApproxValue,Direct Mapping,4
bicycleTracking,Object (Bicycle),propertyTracking,Direct Mapping,4
bicycleTrackingDetails,Object (Bicycle),propertyTrackingDetails,Direct Mapping,4
bicycleInsurancePolicyNumber,Object (Bicycle),bicycleInsurancePolicyNumber,Direct Mapping,4
bicycleInsuranceCompany,Object (Bicycle),bicycleInsuranceCompany,Direct Mapping,4
identifiableItemDescription,Object (Property),propertyDescription,Direct Mapping,4
identifiableItemRefNumber,Object (Property),propertyUniqueNumber,"Populate propertyUniqueNumberType with Other, and propertyUniqueNumber with mobileImei",1
identifiableItemApproxValue,Object (Property),propertyApproxValue,Direct Mapping,4
bankCardNameOnCard,Object (BankCard),bankCardNameOnCard,Direct Mapping,4
bankCardIssuingBank,Object (BankCard),bankCardIssuingBank,Direct Mapping,4
bankCardLongNumber,Object (BankCard),bankCardLongNumber,Direct Mapping,4
bankAccountNumber,Object (BankCard),bankAccountNumber,Direct Mapping,4
bankCardSortcode,Object (BankCard),bankCardSortcode,Direct Mapping,4
bankCardExpiryDate,Object (BankCard),bankCardExpiryDate,Direct Mapping,4
vehicleForeignRegistrationNumber,Object (Vehicle),vehicleForeignVRM,Direct Mapping,4
vehicleRegistrationNumber,Object (Vehicle),vehicleVRM,Direct Mapping,4
vehicleMakeList,Object (Vehicle),vehicleMake,Direct Mapping,4
vehicleMake,Object (Vehicle),vehicleMakeDetails,Direct Mapping,4
vehicleModel,Object (Vehicle),vehicleModel,Direct Mapping,4
vehicleColour,Object (Vehicle),vehicleColour,Direct Mapping,4
vehicleTypeApproval,Object (Vehicle),vehicleTypeApproval,Direct Mapping,4
vehicleDescription,Object (Vehicle),vehicleDescription,Direct Mapping,4
vehicleNumberOfAxles,Object (Vehicle),vehicleNumberOfAxles,Direct Mapping,4
vehicleNumberOfDoors,Object (Vehicle),vehicleNumberOfDoors,Direct Mapping,4
vehicleIdentifyingFeatureList,Object (Vehicle),vehicleIdentifyingFeature,Direct Mapping,4
vehicleIdentifyingFeatureDescription,Object (Vehicle),vehicleIdentifyingFeatureDetails,Direct Mapping,4
vehicleTaxStatus,Object (Vehicle),vehicleTaxStatus,Direct Mapping,4
vehicleTaxNumber,Object (Vehicle),vehicleTaxNumber,Direct Mapping,4
vehicleTaxDueDate,Object (Vehicle),vehicleTaxDueDate,Direct Mapping,4
vehicleAdditionalRateOfTaxEndDate,Object (Vehicle),vehicleAdditionalRateOfTaxEndDate,Direct Mapping,4
vehicleMotStatus,Object (Vehicle),vehicleMotStatus,Direct Mapping,4
vehicleMotExpiryDate,Object (Vehicle),vehicleMotExpiryDate,Direct Mapping,4
vehicleMonthOfFirstDvlaRegistration,Object (Vehicle),vehicleMonthOfFirstDvlaRegistration,Direct Mapping,4
vehicleMonthOfFirstRegistration,Object (Vehicle),vehicleMonthOfFirstRegistration,Direct Mapping,4
vehicleYearOfManufacture,Object (Vehicle),vehicleYearOfManufacture,Direct Mapping,4
vehicleChassisNumber,Object (Vehicle),vehicleChassisNumber,Direct Mapping,4
vehicleEngineNumber,Object (Vehicle),vehicleEngineNumber,Direct Mapping,4
vehicleEngineCapacityCc,Object (Vehicle),vehicleEngineCapacityCc,Direct Mapping,4
vehiclePowerOutput,Object (Vehicle),vehiclePowerOutput,Direct Mapping,4
vehicleFuelTypeList,Object (Vehicle),vehicleFuelType,Direct Mapping,4
vehicleFuelType,Object (Vehicle),vehicleFuelTypeDetails,Direct Mapping,4
vehicleManualTransmission,Object (Vehicle),vehicleManualTransmission,Direct Mapping,4
vehicleDateOfLastV5Cissued,Object (Vehicle),vehicleDateOfLastV5Cissued,Direct Mapping,4
vehicleCo2Emissions,Object (Vehicle),vehicleCo2Emissions,Direct Mapping,4
vehicleRealDrivingEmissions,Object (Vehicle),vehicleRealDrivingEmissions,Direct Mapping,4
vehicleWheelplan,Object (Vehicle),vehicleWheelplan,Direct Mapping,4
vehicleWheelType,Object (Vehicle),vehicleWheelType,Direct Mapping,4
vehicleWheelDiameter,Object (Vehicle),vehicleWheelDiameter,Direct Mapping,4
vehicleHitchType,Object (Vehicle),vehicleHitchType,Direct Mapping,4
vehicleTrailerContainerNumber,Object (Vehicle),vehicleTrailerContainerNumber,Direct Mapping,4
vehicleTrailerContainerContents,Object (Vehicle),vehicleTrailerContainerContents,Direct Mapping,4
vehicleTrailerWeightKg,Object (Vehicle),vehicleTrailerWeightKg,Direct Mapping,4
vehicleTaxiType,Object (Vehicle),vehicleTaxiType,Direct Mapping,4
vehicleMarkedForExport,Object (Vehicle),vehicleMarkedForExport,Direct Mapping,4
vehicleRevenueWeightKg,Object (Vehicle),vehicleRevenueWeightKg,Direct Mapping,4
vehicleEuroStatus,Object (Vehicle),vehicleEuroStatus,Direct Mapping,4
vehicleApproxValue,Object (Vehicle),vehicleApproxValue,Direct Mapping,4
vehicleVin,Object (Vehicle),vehicleVin,Direct Mapping,4
vehicleAlarmFitted,Object (Vehicle),vehicleAlarmFitted,Direct Mapping,4
vehicleTracking,Object (Vehicle),vehicleTracking,Direct Mapping,4
vehicleTrackingDetail,Object (Vehicle),vehicleTrackingDetail,Direct Mapping,4
vehicleUsage,Object (Vehicle),vehicleUsage,Direct Mapping,4
vehicleDefectAlleged,Object (Vehicle),vehicleDefectAlleged,Direct Mapping,4
vehicleLplateDisplayed,Object (Vehicle),vehicleLplateDisplayed,Direct Mapping,4
vehicleLeftHandDrive,Object (Vehicle),vehicleLeftHandDrive,Direct Mapping,4
vehicleRegistrationCountry,Object (Vehicle),vehicleRegistrationCountry,Direct Mapping,4
otherItemDescription,Object (Property),propertyDescription,Direct Mapping,4
otherItemColour,Object (Property),propertyColour,Direct Mapping,4
otherItemQuantity,Object (Property),propertyQuantity,Direct Mapping,4
otherItemUnits,Object (Property),propertyUnits,Direct Mapping,4
otherItemAge,Object (Property),propertyAge,Direct Mapping,4
otherItemSize,Object (Property),propertySize,Direct Mapping,4
otherItemApproxValue,Object (Property),propertyApproxValue,Direct Mapping,4
