Source SOH Field,Target POLE Entity,Target Data Model Field,Mapping Type,Priority
alcoholDependency,Person,alcoholDependency,Direct Mapping,4
alcoholDependencyDetails,Person,alcoholDependencyDetails,Direct Mapping,4
disability,Person,disability,Direct Mapping,4
disabilityCategories,Person,disabilityCategory,Direct Mapping,4
disabilityCategoriesOther,Person,disabilityDetails,Direct Mapping,4
drugOrSubstanceDependency,Person,drugOrSubstanceDependency,Direct Mapping,4
drugOrSubstanceDependencyDetails,Person,drugOrSubstanceDependencyDetails,Direct Mapping,4
riskDueToUnsuitableAttire,Person,riskDueToUnsuitableAttire,Direct Mapping,4
riskDueToUnsuitableAttireDetails,Person,riskDueToUnsuitableAttireDetails,Direct Mapping,4
riskOfAllegedSexualOffending,Person,riskOfAllegedSexualOffending,Direct Mapping,4
riskOfAllegedSexualOffendingDetails,Person,riskOfAllegedSexualOffendingDetails,Direct Mapping,4
riskOfBeingBullied,Person,riskOfBeingBullied,Direct Mapping,4
riskOfBeingBulliedDetails,Person,riskOfBeingBulliedDetails,Direct Mapping,4
riskOfBeingPhysicallyHarmed,Person,riskOfBeingPhysicallyHarmed,Direct Mapping,4
riskOfBeingPhysicallyHarmedDetails,Person,riskOfBeingPhysicallyHarmedDetails,Direct Mapping,4
riskOfBeingVictimOfSexualExploitation,Person,riskOfBeingVictimOfSexualExploitation,Direct Mapping,4
riskOfBeingVictimOfSexualExploitationDetails,Person,riskOfBeingVictimOfSexualExploitationDetails,Direct Mapping,4
riskOfBeingUnableToLookAfterThemselves,Person,riskOfBeingUnableToLookAfterThemselves,Direct Mapping,4
riskOfBeingUnableToLookAfterThemselvesDetails,Person,riskOfBeingUnableToLookAfterThemselvesDetails,Direct Mapping,4
riskOfBeingVictimOfDomesticAbuse,Person,riskOfBeingVictimOfDomesticAbuse,Direct Mapping,4
riskOfBeingVictimOfDomesticAbuseDetails,Person,riskOfBeingVictimOfDomesticAbuseDetails,Direct Mapping,4
riskOfCommittingDomesticAbuse,Person,riskOfCommittingDomesticAbuse,Direct Mapping,4
riskOfCommittingDomesticAbuseDetails,Person,riskOfCommittingDomesticAbuseDetails,Direct Mapping,4
knownMentalDisability,Person,knownMentalDisability,Direct Mapping,4
mentalDisabilityDetails,Person,mentalDisabilityDetails,Direct Mapping,4
knownMentalHealthIssues,Person,knownMentalHealthIssues,Direct Mapping,4
knownMentalHealthIssuesDetails,Person,knownMentalHealthIssuesDetails,Direct Mapping,4
riskOfSelfHarm,Person,riskOfSelfHarm,Direct Mapping,4
riskOfSelfHarmDetails,Person,riskOfSelfHarmDetails,Direct Mapping,4
riskOfViolentBehaviour,Person,riskOfViolentBehaviour,Direct Mapping,4
riskOfViolentBehaviourDetails,Person,riskOfViolentBehaviourDetails,Direct Mapping,4
welfareRisk,Person,welfareRisk,Direct Mapping,4
welfareRiskDetails,Person,welfareRiskDetails,Direct Mapping,4
previousCrimeExperienced,Person,previousCrimeExperienced,Direct Mapping,4
previousCrimeExperiencedDetail,Person,previousCrimeExperiencedDetails,Direct Mapping,4
onMedication,Person,onMedication,Direct Mapping,4
onMedicationDetails,Person,onMedicationDetails,Direct Mapping,4
outcomeOfMissedMedication,Person,outcomeOfMissedMedication,Direct Mapping,4
knownAllergies,Person,knownAllergies,Direct Mapping,4
knownAllergiesDetail,Person,knownAllergiesDetail,Direct Mapping,4
restrainingOrder,Person,restrainingOrder,Direct Mapping,4
restrainingOrderDetails,Person,restrainingOrderDetails,Direct Mapping,4
personUnder18,Person,under18,Direct Mapping,4
contactGuardian,Person,contactGuardian,Direct Mapping,4
guardianDetails,Person,_PersonFields,"New POLE entity created, value remains the same",3
ethnicity,Person,ethnicityGroup,Direct Mapping,4
ethnicityAsian,Person,ethnicitySelfDefined,Direct Mapping,4
ethnicityAsianOther,Person,ethnicitySelfDefinedDetails,Direct Mapping,4
ethnicityBlack,Person,ethnicitySelfDefined,Direct Mapping,4
ethnicityBlackOther,Person,ethnicitySelfDefinedDetails,Direct Mapping,4
ethnicityMixed,Person,ethnicitySelfDefined,Direct Mapping,4
ethnicityMixedOther,Person,ethnicitySelfDefinedDetails,Direct Mapping,4
ethnicityWhite,Person,ethnicitySelfDefined,Direct Mapping,4
ethnicityWhiteOther,Person,ethnicitySelfDefinedDetails,Direct Mapping,4
ethnicityAnother,Person,ethnicitySelfDefined,Direct Mapping,4
ethnicityAnotherOther,Person,ethnicitySelfDefinedDetails,Direct Mapping,4
victimSupport,Person,victimSupport,Direct Mapping,4
victimSupportWitness,Person,victimSupportWitness,Direct Mapping,4
victimKnown,Person,victimKnown,Direct Mapping,4
victimAwareReported,Person,victimAwareReported,Direct Mapping,4
